date,state,longitude,latitude,row,col
2010-01-01,"PUDASJARVI AIRFIELD, FI",26.9666666,65.4166666,518,829
2010-01-01,"ROVANIEMI RAUTATIEASEMA, FI",25.7166666,66.5,398,690
2010-01-01,"HAILUOTO ISLAND, FI",24.8,65.0333333,561,588
2010-01-01,"ESPOO SEPANKYLA, FI",24.7333333,60.2,1099,581
2010-01-01,"JOENSUU, FI",29.60755,62.662906,825,1123
2010-01-01,"PORI, FI",21.799983,61.461686,959,254
2010-01-01,"RAAHE NAHKIAINEN, FI",23.9,64.6166666,607,488
2010-01-01,"MUONIO ALAMUONIO, FI",23.6833333,67.9666666,234,464
2010-01-01,"INKOO BAGASKAR, FI",24.0166666,59.9333333,1129,501
2010-01-01,"PORI TAHKOLUOTO HARBOUR, FI",21.3833333,61.6333333,940,208
2010-01-01,"KRISTIINANKAUPUNKI LIGHTHOUSE, FI",21.1666666,62.2,876,184
2010-01-01,"HAILUOTO MARJANIEMI, FI",24.5666666,65.0333333,561,562
2010-01-01,"STROMMINGSBADN, FI",20.7333333,62.9833333,789,136
2010-01-01,"SODANKYLA VUOTSO, FI",27.1833333,68.0833333,221,854
2010-01-01,"VIEREMA KAARAKKALA, FI",27.2166666,63.8333333,695,857
2010-01-01,"KRUUNUPYY, FI",23.143131,63.721172,707,404
2010-01-01,"SEINAJOKI PELMAA, FI",22.4833333,62.9333333,795,330
2010-05-10,"LUHANKA JUDINSALO, FI",25.5,61.7,932,666
2010-01-01,"YLIVIESKA AIRFIELD, FI",24.7166666,64.05,670,579
2010-01-01,"KAJAANI, FI",27.692414,64.285472,644,910
2010-01-01,"ROVANIEMI APUKKA, FI",26.0166666,66.5833333,388,724
2010-01-01,"HAMEENLINNA LAMMI PAPPILA, FI",25.05,61.05,1004,616
2010-01-01,"OULU, FI",25.354564,64.930061,573,650
2010-01-01,"JUUPAJOKI HYYTIALA, FI",24.2833333,61.85,915,531
2010-01-01,"AHTARI MYLLYMAKI, FI",24.2166666,62.5333333,839,523
2010-01-01,"LIEKSA LAMPELA, FI",30.05,63.3166666,752,1173
2010-01-01,"KEMI I LIGHTHOUSE, FI",24.1,65.3833333,522,510
2010-01-01,"KUOPIO, FI",27.797756,63.00715,787,922
2010-01-01,"TOHOLAMPI LAITALA, FI",24.1666666,63.8166666,696,518
2010-01-01,"UTTI, FI",26.938353,60.896394,1022,826
2010-01-01,"PELKOSENNIEMI PYHATUNTURI, FI",27.2166666,67.0166666,340,857
2010-01-01,"SALLA VARRIOTUNTURI, FI",29.6166666,67.75,259,1124
2010-01-01,"HEINOLA ASEMANTAUS, FI",26.05,61.2,988,727
2010-01-01,"KAARINA YLTOINEN, FI",22.55,60.3833333,1079,338
2010-01-01,"SALO KARKKA, FI",23.1166666,60.3666666,1081,401
2010-01-01,"LEMLAND NYHAMN, FI",19.95,59.9666666,1125,48
2010-01-01,"ASIKKALA PULKKILANHARJU, FI",25.5166666,61.2666666,980,668
2010-01-01,"RAUTAVAARA YLA LUOSTA, FI",28.6666666,63.3833333,745,1019
2010-01-01,"VAASA KESKUSTA, FI",21.6166666,63.1,776,234
